Year,Male,Female
1954,63.4,67.7
1955,63.6,67.8
1956,63.6,67.5
1957,63.2,67.6
1958,65.0,69.6
1959,65.2,69.9
1960,65.3,70.2
1961,66.0,70.8
1962,66.2,71.2
1963,67.2,72.3
1964,67.7,72.9
1965,67.7,72.9
1966,68.4,73.6
1967,68.9,74.2
1968,69.1,74.3
1969,69.2,74.7
1970,69.3,74.7
1971,70.2,75.6
1972,70.5,75.9
1973,70.7,76.0
1974,71.2,76.3
1975,71.7,76.9
1976,72.2,77.4
1977,72.7,78.0
1978,73.0,78.3
1979,73.5,78.9
1980,73.4,78.8
1981,73.8,79.1
1982,74.2,79.7
1983,74.2,79.8
1984,74.5,80.2
1985,74.8,80.5
1986,75.2,80.9
1987,75.6,81.4
1988,75.5,81.3
1989,75.9,81.8
1990,75.9,81.9
1991,76.1,82.1
1992,76.1,82.2
1993,76.3,82.5
1994,76.6,83.0
1995,76.4,82.9
1996,77.0,83.6
1997,77.2,83.8
1998,77.2,84.0
1999,77.1,84.0
2000,77.7,84.6
2001,78.1,84.9
2002,78.3,85.2
2003,78.4,85.3
2004,78.6,85.6
2005,78.6,85.5
2006,79.0,85.8
2007,79.2,86.0
2008,79.3,86.1
2009,79.6,86.4
2010,79.6,86.3
2011,79.4,85.9
2012,79.9,86.4
2013,80.2,86.6
2014,80.5,86.8
2015,80.8,87.0
2016,81.0,87.1
2017,81.1,87.3
2018,81.3,87.3
